hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,auc
"(64, 32)",101,0.27635394201074476,0.000733193,0.049162781,0.7794677063882551,83,0.46409868331234916
"(64, 32)",76,0.16040702266448148,0.000645951,0.032482674,0.24526975840001208,89,0.533833947
"(64, 32)",118,0.17610287122563056,0.00012954,0.071261785,0.428007764,81,0.45596828402075146
"(64,)",128,0.14309156752360874,0.000446349,0.065506659,0.37405382394646636,80,0.45079063358008586
"(64, 32)",130,0.31080177555591226,7.658285729080153e-05,0.017473260972046416,0.15477407736315305,77,0.585435233
"(64,)",64,0,0.001,0.0001,0.001,95,0.5463295151161203
"(64, 32)",150,0.4,0.001,0.015730477696972806,0.4551775569160128,95,0.450183462
"(64, 32)",133,0.33039168551851567,5e-05,0.097299717,0.10446769978549951,75,0.49994382176933694
"(64, 32)",109,0.16375595472124266,0.000765514,0.0001,0.14993941402578254,90,0.44403631414680766
"(64, 32)",132,0.27092425303059153,0.000154674,0.012638043456580974,0.027622676,76,0.5152473245301337
"(64,)",129,0.2059828377283371,0.000727671,0.017994752205476236,0.1933103280349186,77,0.4373340630356628
"(64, 32)",129,0.327648562,0.000336422,0.033964378,0.034743974,80,0.4664710628308784
"(64, 32)",129,0.003815649,5e-05,0.010765883036578085,0.726880867,88,0.6511260675333344
"(64, 32)",128,0.14844306682649347,5e-05,0.015095332756385872,0.9755505454662746,84,0.6765554842391881
"(64, 32)",127,0.1523476420388487,5e-05,0.0001,0.999,84,0.7147514334905875
"(64,)",146,0.020108508,5e-05,0.0001,0.999,82,0.5804879556452225
"(64,)",125,0.007758496,5e-05,0.0001,0.999,84,0.5802514439194211
"(64, 32)",150,0.4,0.000103672,0.0001,0.999,75,0.4927620671085964
"(64, 32)",64,0.25224521095517327,5e-05,0.0001,0.999,90,0.7279597077271969
"(64,)",96,0.014275699731941644,0.000885623,0.096777131,0.23919739374498514,91,0.4217583345342293
"(64,)",146,0.2307263999157824,0.000577873,0.098664301,0.9357003400705446,83,0.3787148643113936
"(64, 32)",150,0.1622325191533859,5e-05,0.0001,0.001,95,0.557823976
"(64, 32)",79,0.1665185636440982,5e-05,0.0001,0.999,91,0.7416612089103956
"(64, 32)",64,0.189395108,5e-05,0.0001,0.6795936814663635,95,0.6359433117045643
"(64, 32)",82,0.047018177,5e-05,0.0001,0.999,95,0.749103566
"(64, 32)",64,0,5e-05,0.0001,0.999,91,0.7429681408613079
"(64,)",92,4.594089129302108e-18,5e-05,0.0001,0.001,75,0.6253054083931253
"(64,)",64,0.17402469142052968,0.000261724,0.1,0.999,88,0.48515204291370234
"(64, 32)",64,0.3816086958259555,0.000543968,0.0001,0.001,75,0.5268617459005203
"(64,)",148,0,9.557770062227247e-05,0.0001,0.001,86,0.4960361804681218
"(64, 32)",77,0.23099547149094582,5.5927295262516e-05,0.0001,0.999,84,0.7274883434082187
"(64,)",64,1.3120062568115864e-17,0.001,0.1,0.999,77,0.5075566949319661
"(64, 32)",64,0,0.000405568,0.0001,0.999,76,0.4866909642689198
"(64, 32)",64,0.2891528614868478,0.000876519,0.0001,0.999,90,0.5416047699588914
"(64, 32)",150,6.44826661898129e-18,5e-05,0.0001,0.999,95,0.7221839020523945
"(64,)",64,0,0.000248079,0.0001,0.001,88,0.5133959173960531
"(64, 32)",87,0,6.152127022934012e-05,0.0001,0.999,82,0.7381454499946909
"(64, 32)",101,0,5e-05,0.0001,0.999,75,0.7426230128331539
"(64,)",64,0.4,5e-05,0.0001,0.001,75,0.6374909648377652
"(64,)",64,0.0,5e-05,0.1,0.001,82,0.5639486787615855
"(64, 32)",89,0.0,5e-05,0.0001,0.999,95,0.744033763822945
"(64, 32)",64,0.0947193850337863,5e-05,0.0001,0.999,75,0.7510020023360587
"(64, 32)",64,0.0976220574869407,5.7008689109257464e-05,0.0001,0.999,95,0.7515434863401241
"(64, 32)",64,0.08535243407668631,5.485839956074183e-05,0.0001,0.999,75,0.7512839742957693
"(64, 32)",64,0.0,0.0005799152941448252,0.1,0.001,91,0.5178789032280083
"(64, 32)",64,0.09172771282558964,5.091524744256089e-05,0.0001,0.999,95,0.7510482115498385
"(64, 32)",64,0.11193614782506311,5.570518373020573e-05,0.0001,0.999,75,0.7495684785659027
"(64, 32)",70,0.08001923512612018,5e-05,0.0001,0.999,95,0.7505827537430032
"(64, 32)",64,0.08158424067705788,5.4347073803274405e-05,0.0001,0.999,95,0.7512609881983526
"(64, 32)",64,0.08100664694739493,5e-05,0.0001,0.999,95,0.7509612824810764
"(64, 32)",64,0.09062642880238056,8.133851055906974e-05,0.0001,0.999,95,0.7504422963153983
"(64, 32)",64,0.07485658731775542,6.64287695619307e-05,0.0001,0.999,95,0.7515899562747448
"(64, 32)",64,0.08888133992871126,6.565856471438032e-05,0.0001,0.999,95,0.7518993086631373
"(64, 32)",64,0.09474642461147895,6.706460278910751e-05,0.0001,0.999,94,0.7519938223381823
"(64, 32)",64,0.09669152287015087,6.792729568111666e-05,0.0001,0.999,95,0.75207741418018
