hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,recall
"(64, 32)",109,0.13345666798378478,0.004042164948539782,0.008490980198364726,0.7482166101171027,299,0.5383947939262472
"(64,)",99,0.1668758549281143,0.004555989031353373,0.09087622381811608,0.30303002441398574,412,0.527114967462039
"(64, 32)",97,0.014092568830803212,0.004952371647002522,0.08988978140975842,0.8102966597022663,448,0.49718004338394794
"(64,)",84,0.28848657866845545,0.0031462695247206737,0.06897204629155274,0.774577314076123,694,0.4950108459869848
"(64, 32)",111,0.09855086276671068,0.005190769564713716,0.01915729653477854,0.6891222346369825,171,0.5214750542299349
"(64,)",89,0.15945472924848902,0.0033526934237646175,0.002298125437022963,0.9952742630626388,349,0.440997830802603
"(64, 32)",70,0.13705287175250586,0.00011718068262917286,0.0922352774714514,0.057032882266181265,535,-1.0
"(64, 32)",64,0.4,0.00701,0.1,0.999,700,0.6216919739696312
"(64,)",142,0.0,0.00701,0.017731898884638324,0.06645633589908002,587,0.5520607375271149
"(64,)",124,0.22913727430680267,0.006203192471883707,0.09831017296722297,0.4891142983669631,412,0.5108459869848156
"(64, 32)",144,0.39933825566192954,0.00180757692721227,0.09186692021436957,0.35852035807831534,281,0.4750542299349241
"(64,)",150,0.4,0.003454908316786048,0.0772908563207352,0.5644750564664098,411,0.5097613882863341
"(64, 32)",105,0.019675564339800028,0.0023640296118165854,0.0612875092550675,0.12525477833137025,165,0.5091106290672451
"(64,)",94,0.004252489093773271,0.0013927139674691908,0.055396496441403285,0.41723013171884976,653,0.5407809110629067
"(64,)",150,0.4,1e-06,0.1,0.001,700,-1.0
"(64, 32)",94,0.10384176957695834,0.006475097293291172,0.09791103770770529,0.001,674,0.4859002169197397
"(64,)",147,0.39259245662402537,0.005573480109565076,0.09206139399321328,0.06342927506493662,687,0.5238611713665944
"(64,)",91,0.3988626314131607,0.0010635876469946536,0.07330663243430603,0.5493639544740763,441,0.5097613882863341
"(64, 32)",68,0.019196659286211712,0.005828176281115651,0.07640881492850969,0.9792199637455546,649,0.5832971800433839
"(64, 32)",149,0.31029390261390555,0.002739575808161508,0.034713127736076765,0.9435582441078272,245,0.5724511930585683
"(64,)",146,0.012371351199392859,0.0009152529284937749,0.04887431861263045,0.05660388725141893,476,0.5414316702819957
"(64, 32)",148,0.21491802718713973,0.004595950273960929,0.047814885678875416,0.9939311669191019,549,0.5603036876355749
"(64, 32)",149,0.3430707588312185,0.0012707546636930472,0.05327450765909308,0.7417379186044469,429,0.4945770065075922
"(64, 32)",83,0.3856364476845262,0.0021780833714874818,0.06335951060425357,0.9932354358825537,533,0.6026030368763557
"(64, 32)",93,0.3976072972711338,0.004925138032100159,0.054410258239283686,0.1252506407000211,285,-1.0
"(64, 32)",144,0.012113281670872339,0.002956100932728579,0.1,0.34300449457704413,150,0.472234273318872
"(64,)",150,0.12509099175666016,0.005135760946399643,0.0001,0.8357447852821386,150,-1.0
"(64, 32)",101,0.11945962482973507,1e-06,0.0001,0.2910766281131979,150,0.3394793926247288
"(64,)",96,0.0,0.004229496956613472,0.010547842749150415,0.4702702279662398,574,0.5520607375271149
"(64,)",114,0.0,1e-06,0.0001,0.999,565,0.403470715835141
