accuracy,precision,recall,f1_score,auc,version,timestamp
0.7725408047481889,0.4505654870485224,0.5289079229122056,0.4866036249014972,0.7303230958686602,202504130052,2025-04-13 00:53:52
0.7704460155363533,0.445146894756415,0.5126338329764454,0.4765127388535032,0.7245332483249898,202504130054,2025-04-13 01:09:08
0.8223793314131099,0.7631578947368421,0.1862955032119914,0.2994836488812392,0.7025841941758331,202504130111,2025-04-13 21:21:37
0.7815309417823165,0.4688195991091314,0.540899357601713,0.5022867369258301,0.7241516028032096,202504130119,2025-04-17 22:47:16
0.7521166099327922,0.4244238252020353,0.6072805139186296,0.4996476391825229,0.7489366132281559,202504131715,2025-04-13 21:55:03
0.784149428297111,0.474519940915805,0.550321199143469,0.5096172912948642,0.7490937503374433,202504131912,2025-04-17 22:34:02
0.7736754822379331,0.4527818448023426,0.5297644539614561,0.4882573514900336,0.7400341645277647,202504180230,2025-04-18 02:38:42
0.7989002356637863,0.5057771151695862,0.5811563169164882,0.5408529294539657,0.8067703934343261,202504180245,2025-04-21 17:48:54
0.7988129527799599,0.5055720653789004,0.5828693790149893,0.5414760294410185,0.8092999159149799,202504180259,2025-04-21 17:50:43
0.8229030287160688,0.7610921501706485,0.1910064239828693,0.3053748716193084,0.6969161314130086,202504180314,2025-04-21 17:26:41
0.7536004189578424,0.4288629737609329,0.6299785867237687,0.5103209019947962,0.7936627312748857,202504180327,2025-04-21 17:27:53
0.7944488085886358,0.4949596774193548,0.4205567451820128,0.4547348923361889,0.7059759284915823,202504202341,2025-04-20 23:56:12
0.7807453958278782,0.4670636397469296,0.5374732334047109,0.4998008761449621,0.7507193236390646,202504202356,2025-04-21 00:22:12
0.79087021035175,0.4885467517837026,0.5571734475374732,0.5206082432973189,0.7986440292828079,202505052144,2025-05-06 00:42:51
0.7761194029850746,0.4665308498253783,0.686509635974304,0.5555363022006584,0.8367173132981564,202505052210,2025-05-07 15:14:21
0.8235140089028542,0.7693631669535284,0.1914346895074946,0.3065843621399177,0.6976262061693335,202505052227,2025-05-06 03:29:23
0.7948852230077682,0.4978102189781022,0.7301927194860813,0.5920138888888888,0.8551308059626657,202505052247,2025-05-07 03:26:38
0.7758575543335952,0.4650884027569673,0.6646680942184154,0.5472496473906912,0.8089870971043485,202505060048,2025-05-06 15:52:18
0.7989875185476129,0.5046376811594203,0.745610278372591,0.6019014693171997,0.8671149401381323,202505061432,2025-05-07 02:36:44
0.7968927293357773,0.5011634671320535,0.7379014989293362,0.5969166811016803,0.8646498311961529,202505071624,2025-05-07 17:36:19
0.7954962031945535,0.4988344988344988,0.7331905781584582,0.5937229061903936,0.8581695334290773,202505071758,2025-05-07 19:05:27
0.798114689709348,0.5033152501506932,0.715203426124197,0.5908367238634353,0.8557841667578252,202505071932,2025-05-07 20:58:49
0.8291001134677489,0.5706257025103035,0.6522483940042827,0.6087130295763389,0.8621662949116591,202505072059,2025-05-07 21:48:46
0.8094614646067906,0.5225519287833827,0.7541755888650964,0.617353198948291,0.8637681121997459,202505072148,2025-05-08 00:09:23
0.8371301387797853,0.585865983156353,0.6852248394004282,0.6316620607974733,0.876369175023134,202505080012,2025-05-13 03:21:57
0.7975037095225627,0.5021607605877269,0.7464668094218415,0.600413365483982,0.8509245126848193,202505080056,2025-05-12 00:00:25
0.8242995548572924,0.7804878048780488,0.1918629550321199,0.3080096253007906,0.7035850923033803,202505080154,2025-05-08 02:50:26
0.7954962031945535,0.4987937273823884,0.7083511777301927,0.5853831180322067,0.8469494414754645,202505080250,2025-05-13 02:41:53
0.7817055075499695,0.4758440046565774,0.7002141327623126,0.5666262346213827,0.8414569431644419,202505081707,2025-05-08 18:30:00
0.8345989351488173,0.5818452380952381,0.6698072805139186,0.6227354170814254,0.8701873297818248,202505112013,2025-05-13 03:10:57
0.7778650606616042,0.4688612099644128,0.6770877944325482,0.5540564219379709,0.8186335644302054,202505112249,2025-05-11 23:43:02
0.788339006720782,0.4867178276269185,0.7062098501070664,0.576271186440678,0.8468535723457467,202505120002,2025-05-12 04:23:40
0.7876407436501702,0.4811538461538461,0.5357601713062099,0.5069908814589665,0.7667242570025075,202505121436,2025-05-13 02:05:44
0.7833638823426726,0.472646073688128,0.5438972162740899,0.5057745917960972,0.7545077739911088,202505160133,2025-05-16 05:32:43
0.7837130138779785,0.4734890619206526,0.5468950749464668,0.5075516693163752,0.7552715110467809,202505160225,2025-05-16 06:03:45
0.7572663000785546,0.4349854227405247,0.6389721627408994,0.5176062445793582,0.7502958234017391,202505160319,2025-05-16 06:37:57
0.8241249890896395,0.7749140893470791,0.1931477516059957,0.3092218032224889,0.6828545432436912,202505160411,2025-05-16 07:55:51
